Year,Perch,Lat,Lon
1978,South Perch,71.402,-156.4166667
1979,South Perch 1,71.33333333,-156.7216667
1983,Honolulu,71.435,-156.6483333
1983,Pinnacle,71.37666667,-156.6483333
1984,Snowy Owl,71.41883333,-156.5616667
1985,Perilous,71.37416667,-156.6936667
1985,Flounder,71.435,-156.4391667
1985,slippery,71.3665,-156.725
1986,Polar Perch,71.43333333,-156.3166667
1987,Tuvaq,71.4375,-156.4233333
1988,Tookalook III,71.392,-156.5675
1992,Ursus,71.40933333,-156.537
1993,Carolyn,71.34261667,-156.8055167
1993,Spamalot,71.43223333,-156.4581167
1999,Will Rogers,71.19333333,-157.0666667
2000,Y2K,71.38833333,-156.6666667
2001,Natchiq,71.41758333,-156.56035
2001,Pucker Factor,71.36166667,-156.7996667
2011,Judy,71.353125,-156.7395
2019,Roxy,71.40833333,-156.5388889
